repository_name,owner_username,stars,repository_url
tensorflow,tensorflow,163000,https://gitub.com/tensorflow/tensorflow
transformers,huggingface,58300,https://gitub.com/huggingface/transformers
pytorch,pytorch,54100,https://gitub.com/pytorch/pytorch
keras,keras-team,54000,https://gitub.com/keras-team/keras
scikit-learn,scikit-learn,49100,https://gitub.com/scikit-learn/scikit-learn
tesseract,tesseract-ocr,44000,https://gitub.com/tesseract-ocr/tesseract
face_recognition,ageitgey,43100,https://gitub.com/ageitgey/face_recognition
TensorFlow-Examples,aymericdamien,41700,https://gitub.com/aymericdamien/TensorFlow-Examples
faceswap,deepfakes,40400,https://gitub.com/deepfakes/faceswap
julia,JuliaLang,38300,https://gitub.com/JuliaLang/julia
awesome-scalability,binhnguyennus,37400,https://gitub.com/binhnguyennus/awesome-scalability
100-Days-Of-ML-Code,Avik-Jain,34500,https://gitub.com/Avik-Jain/100-Days-Of-ML-Code
caffe,BVLC,32299,https://gitub.com/BVLC/caffe
cs-video-courses,Developer-Y,31600,https://gitub.com/Developer-Y/cs-video-courses
DeepFaceLab,iperov,31200,https://gitub.com/iperov/DeepFaceLab
d2l-zh,d2l-ai,30200,https://gitub.com/d2l-ai/d2l-zh
MadeWithML,GokuMohandas,29600,https://gitub.com/GokuMohandas/MadeWithML
ML-For-Beginners,microsoft,29100,https://gitub.com/microsoft/ML-For-Beginners
machine-learning-for-software-engineers,ZuzooVn,25700,https://gitub.com/ZuzooVn/machine-learning-for-software-engineers
Coursera-ML-AndrewNg-Notes,fengdu78,24100,https://gitub.com/fengdu78/Coursera-ML-AndrewNg-Notes
handson-ml,ageron,24000,https://gitub.com/ageron/handson-ml
awesome-deep-learning-papers,terryum,23500,https://gitub.com/terryum/awesome-deep-learning-papers
openpose,CMU-Perceptual-Computing-Lab,23300,https://gitub.com/CMU-Perceptual-Computing-Lab/openpose
data-science-ipython-notebooks,donnemartin,22500,https://gitub.com/donnemartin/data-science-ipython-notebooks
spaCy,explosion,22400,https://gitub.com/explosion/spaCy
yolov5,ultralytics,22300,https://gitub.com/ultralytics/yolov5
xgboost,dmlc,22200,https://gitub.com/dmlc/xgboost
google-research,google-research,22000,https://gitub.com/google-research/google-research
fastai,fastai,21900,https://gitub.com/fastai/fastai
ML-From-Scratch,eriklindernoren,20800,https://gitub.com/eriklindernoren/ML-From-Scratch
