repository_name,owner_username,stars,repository_url
tensorflow,tensorflow,163000,https://gitub.com/tensorflow/tensorflow
system-design-primer,donnemartin,163000,https://gitub.com/donnemartin/system-design-primer
CS-Notes,CyC2018,146000,https://gitub.com/CyC2018/CS-Notes
Python,TheAlgorithms,129000,https://gitub.com/TheAlgorithms/Python
awesome-python,vinta,117000,https://gitub.com/vinta/awesome-python
free-programming-books-zh_CN,justjavac,87500,https://gitub.com/justjavac/free-programming-books-zh_CN
thefuck,nvbn,66800,https://gitub.com/nvbn/thefuck
project-based-learning,practical-tutorials,63000,https://gitub.com/practical-tutorials/project-based-learning
django,django,62400,https://gitub.com/django/django
transformers,huggingface,58300,https://gitub.com/huggingface/transformers
flask,pallets,58000,https://gitub.com/pallets/flask
pytorch,pytorch,54100,https://gitub.com/pytorch/pytorch
keras,keras-team,54000,https://gitub.com/keras-team/keras
HelloGitHub,521xueweihan,52500,https://gitub.com/521xueweihan/HelloGitHub
ansible,ansible,52200,https://gitub.com/ansible/ansible
core,home-assistant,49900,https://gitub.com/home-assistant/core
scikit-learn,scikit-learn,49100,https://gitub.com/scikit-learn/scikit-learn
requests,psf,46900,https://gitub.com/psf/requests
leetcode,azl397985856,46600,https://gitub.com/azl397985856/leetcode
superset,apache,44500,https://gitub.com/apache/superset
face_recognition,ageitgey,43100,https://gitub.com/ageitgey/face_recognition
scrapy,scrapy,42800,https://gitub.com/scrapy/scrapy
manim,3b1b,42100,https://gitub.com/3b1b/manim
fastapi,tiangolo,41900,https://gitub.com/tiangolo/fastapi
TensorFlow-Examples,aymericdamien,41700,https://gitub.com/aymericdamien/TensorFlow-Examples
localstack,localstack,38800,https://gitub.com/localstack/localstack
rich,Textualize,35200,https://gitub.com/Textualize/rich
100-Days-Of-ML-Code,Avik-Jain,34500,https://gitub.com/Avik-Jain/100-Days-Of-ML-Code
Real-Time-Voice-Cloning,CorentinJ,33500,https://gitub.com/CorentinJ/Real-Time-Voice-Cloning
nerd-fonts,ryanoasis,33500,https://gitub.com/ryanoasis/nerd-fonts
